genome	rate	I_alg	S_alg	k	d	kmer_count	index_bytes	Unnamed..9	pref	S_time_s	S_mem_kb	I_time_s	I_mem_kb	Q_time_s	Q_mem_kb	qType	num_queries	SI_time_s	SI_mem_kb	Q_time_mus_per_query	Q_mem_bits_per_kmer	SIalg	bits_per_kmer	bits_per_ref_kmer	Q_time_per_query_ms	plot	alg	algorithm	qTypeLabel
minikr4gib	1	SSHash	eulertigs	31	na	313174697	4120777680	sshash.minikraken4GB_k31.S_eulertigs.k_31.d_na	na	1509.34	219210224	328.73	15141232	8	4028128	Neg	1000000	1838.07	219210224	8	102.89791706895146	SSHash - eulertigs	102.89791706895146	102.89791706895146	8	isol	1	SSHash(spss)	-
minikr4gib	1	SSHash	eulertigs	31	na	313174697	4120777680	sshash.minikraken4GB_k31.S_eulertigs.k_31.d_na	na	1509.34	219210224	328.73	15141232	10.04	4028112	Pos	1000000	1838.07	219210224	10.04	102.8975083513851	SSHash - eulertigs	102.8975083513851	102.8975083513851	10.04	isol	1	SSHash(spss)	+
minikr4gib	1	SSHash	eulertigs	31	na	313174697	4120777680	sshash.minikraken4GB_k31.S_eulertigs.k_31.d_na	na	1509.34	219210224	328.73	15141232	3.1900000000000004	4028112	Str	999810	1838.07	219210224	3.190606215180885	102.8975083513851	SSHash - eulertigs	102.8975083513851	102.8975083513851	3.190606215180885	stream	1	SSHash(spss)	
minikr4gib	1	fmsi	global	31	na	313174697	1338754292	fmsi.minikraken4GB_k31.S_global.k_31.d_na	na	843.8	8649596	1761.15	72329672	8.930000000000001	1377764	Neg	1000000	2604.95	72329672	8.930000000000001	35.19477181772447	fmsi - global	35.19477181772447	35.19477181772447	8.930000000000001	isol	2	FMSI(superstr)	-
minikr4gib	1	fmsi	global	31	na	313174697	1338754292	fmsi.minikraken4GB_k31.S_global.k_31.d_na	na	843.8	8649596	1761.15	72329672	8.91	1377768	Pos	1000000	2604.95	72329672	8.91	35.194873997116055	fmsi - global	35.194873997116055	35.194873997116055	8.91	isol	2	FMSI(superstr)	+
minikr4gib	1	fmsi	global	31	na	313174697	1883323900	fmsi.minikraken4GB_k31.S_global.k_31.d_na	na	843.8	8649596	1761.15	72329672	5.8100000000000005	1909576	Str	999810	2604.95	72329672	5.811104109780859	48.779828467432026	fmsi - global	48.779828467432026	48.779828467432026	5.811104109780859	stream	2	FMSI(superstr)	
minikr8gib	1	SSHash	prophasm	31	na	671088638	8683242512	sshash.minikraken8GB_k31.S_prophasm.k_31.d_na	na	3243.19	27633284	695.75	29646776	11.01	8483748	Neg	1000000	3938.94	29646776	11.01	101.1341574821894	SSHash - prophasm	101.13415748218941	101.13415748218941	11.01	isol	1	SSHash(spss)	-
minikr8gib	1	SSHash	prophasm	31	na	671088638	8683242512	sshash.minikraken8GB_k31.S_prophasm.k_31.d_na	na	3243.19	27633284	695.75	29646776	9.86	8483752	Pos	1000000	3938.94	29646776	9.86	101.13420516590536	SSHash - prophasm	101.13420516590537	101.13420516590537	9.86	isol	1	SSHash(spss)	+
minikr8gib	1	SSHash	prophasm	31	na	671088638	8683242512	sshash.minikraken8GB_k31.S_prophasm.k_31.d_na	na	3243.19	27633284	695.75	29646776	8.84	8483752	Str	999810	3938.94	29646776	8.841679919184644	101.13420516590536	SSHash - prophasm	101.13420516590537	101.13420516590537	8.841679919184646	stream	1	SSHash(spss)	
minikr8gib	1	fmsi	global	31	na	671088638	2423406724	fmsi.minikraken8GB_k31.S_global.k_31.d_na	na	1625.21	16327504	7618.84	128183132	13.59	2488336	Neg	1000000	9244.05	128183132	13.59	29.66327676076673	fmsi - global	29.663276760766735	29.663276760766735	13.59	isol	2	FMSI(superstr)	-
minikr8gib	1	fmsi	global	31	na	671088638	2423406724	fmsi.minikraken8GB_k31.S_global.k_31.d_na	na	1625.21	16327504	7618.84	128183132	10.98	2488340	Pos	1000000	9244.05	128183132	10.98	29.663324444482697	fmsi - global	29.663324444482697	29.663324444482697	10.98	isol	2	FMSI(superstr)	+
minikr8gib	1	fmsi	global	31	na	671088638	3388520036	fmsi.minikraken8GB_k31.S_global.k_31.d_na	na	1625.21	16327504	7618.84	128183132	9.33	3430836	Str	999810	9244.05	128183132	9.331773036877006	40.898752334412194	fmsi - global	40.898752334412194	40.898752334412194	9.331773036877006	stream	2	FMSI(superstr)	
